created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat May 30 23:57:00 +0000 2020;1266881326000435201;"Selamat ulang tahun Surabaya, segera pulih, masyarakat sehat dan pandemi covid terkendali. #Surabaya727";0;0;0;0;in;369917928;1266881326000435201;catatanjeda;https://twitter.com/catatanjeda/status/1266881326000435201
Sat May 30 23:55:56 +0000 2020;1266881058064101376;"Selamat Hari Jadi Kota Surabaya ke-727.  Semoga segera terbebas dari pandemi Covid-19.   #PPPJatim #Surabaya727 #SurabayaHits #SurabayaKeren https://t.co/yzBbzEFLMV";0;0;0;2;in;3370537392;1266881058064101376;pppjatim_dpw;https://twitter.com/pppjatim_dpw/status/1266881058064101376
Sat May 30 23:49:38 +0000 2020;1266879473384734720;"@kompasiana @kompascom Memang dilema yg masuk Surabaya membawa virus keluar Surabaya positif covid,gimana maunya";0;0;0;0;in;1115451142547181569;1266540093008838658;Hamirun1;https://twitter.com/Hamirun1/status/1266879473384734720
Sat May 30 23:49:32 +0000 2020;1266879448801894400;"Maia Estianty Berduka, Tantenya Meninggal Dunia akibat Corona di Surabaya https://t.co/v4NHMSEI8q";1;0;2;1;in;58880688;1266879448801894400;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1266879448801894400
Sat May 30 23:45:37 +0000 2020;1266878462867804160;"Ada yg beda di Ulang Tahun Kota Surabaya, biasanya ada festival kuliner di jl Tunjungan tapi sekarang ditiadakan gara2 ada si CORONA :(";0;0;0;6;in;1144602895934881792;1266878462867804160;sarishintaa;https://twitter.com/sarishintaa/status/1266878462867804160
Sat May 30 23:43:35 +0000 2020;1266877949090783233;"@yusuf_dumdum @ganjarpranowo nex 2024.  gabaner jkt @aniesbaswedan sibuk konpres Covid  gabaner jatim @KhofifahIP ngak tau rimbanya kmn, malah bu @Tri_Rismaharini nangis" karna mobil PCR permintaannya ditilep pemprov yg sejatinya untuk surabaya dahulu.";0;1;0;0;in;864212965;1266617655475109889;saya_cebongers;https://twitter.com/saya_cebongers/status/1266877949090783233
Sat May 30 23:33:44 +0000 2020;1266875470861094912;"Sob, untuk memenuhi kebutuhan pelumas di dalam dan luar negeri kami memiliki 3 Gudang Nusantara (National Stock) yang berada di Jakarta, Cilacap dan Surabaya dan 24 Lubricants Depot Supply Points (DSP) yang tersebar dari Sabang sampai Merauke. 📷 sebelum pandemi Covid-19 https://t.co/TKMvpAozbU";0;0;0;1;in;2205930396;1266875470861094912;Pertaminalub;https://twitter.com/Pertaminalub/status/1266875470861094912
Sat May 30 23:23:57 +0000 2020;1266873009102401536;"@fir_arif88 Amiiinn.. smoga corona ilang di surabaya,cepet buat event lageee. Dah ngempet kangen";0;1;0;0;in;826255030067933184;1266868711786295296;Suminiiku48;https://twitter.com/Suminiiku48/status/1266873009102401536
Sat May 30 23:08:56 +0000 2020;1266869231892574211;"Selamat ulang tahun ke-727 kota Surabaya. Smoga kadonya, covid pergi dr kota pahlawan🙏🙏 @BanggaSurabaya  @Tri_Rismaharini @e100ss";0;0;0;0;in;2678898343;1266869231892574211;nofianisa;https://twitter.com/nofianisa/status/1266869231892574211
Sat May 30 23:04:42 +0000 2020;1266868163276230656;"Insyaallah hujan 3 malam di kaki langit Surabaya adalah pembawa berita gembira ditariknya corona dari bumi Garuda, keberkahan dilimpahkan pada penduduknya.  Berbondong-bondong memenuhi seruanNya menuju hidup bersih, baik fisik maupun hati   Babak baru dimulai.. 🙂👌🙂#salamgaruda";2;14;12;115;in;1189039138835554304;1266868163276230656;BANGSAygSUJUD;https://twitter.com/BANGSAygSUJUD/status/1266868163276230656
Sat May 30 22:57:20 +0000 2020;1266866311549730816;"@Ayang_Utriza Di Surabaya ada gak ada corona kehidupan normal normal saja.. Warkop tetep penuh dengan pemain mobel lejennya, anak2 di dalam gang tetep kruntelan tanpa masker, pasar tetep rame.. Yg lebih membanggakan surabaya tertinggi kasus covid pertama di jatim loh.";0;0;0;2;in;787051280;1266752276959502336;Roastery_expert;https://twitter.com/Roastery_expert/status/1266866311549730816
Sat May 30 22:56:55 +0000 2020;1266866204829839360;"@MAIAsangJUARA Hualah siapa bilang ada virus Corona di Surabaya/Jatim, Surabaya itu zona merah ya memang karena basis PDIP ye kan? 😅";0;0;0;0;in;1069935876031934465;1266617239240798208;Betadin7;https://twitter.com/Betadin7/status/1266866204829839360
Sat May 30 22:51:02 +0000 2020;1266864725456896000;"Ribuan kasus COVID-19 di Surabaya ini sebagai hasil dari 21 ribu lebih rapid test yang digelar. #publisherstory https://t.co/5LYjtgNsqj";0;4;13;46;in;759692754985242625;1266864725456896000;kumparan;https://twitter.com/kumparan/status/1266864725456896000
Sat May 30 22:42:11 +0000 2020;1266862499971788800;"Surabaya kasus Covid nya ngeri. Yg lain siap-siap new normal di sana malah lagi nge-hits aja si Corona.";0;3;0;1;in;159821286;1266862499971788800;tania_damayanti;https://twitter.com/tania_damayanti/status/1266862499971788800
Sat May 30 22:27:33 +0000 2020;1266858818043928576;"Pasien Positif Corona di Jatim Jadi 4.409, Tambahan Terbanyak dari Surabaya - https://t.co/EzvWuj59Se https://t.co/MrhElpekLb";0;0;0;0;in;129687395;1266858818043928576;voaislam;https://twitter.com/voaislam/status/1266858818043928576
Sat May 30 22:22:02 +0000 2020;1266857426264797185;"@darwis_alim @MAIAsangJUARA Masnya jalan" d surabaya dn mampir k rs rujukan, biar tau, atau sengaja ngbrol sm pasien covid  utk membuktikan teorinya bener, biar jd penelitian yng baru, mna tau jd peluang mndptkan pundi" emas";0;0;0;0;in;403311481;1266617239240798208;septaistiana;https://twitter.com/septaistiana/status/1266857426264797185
Sat May 30 22:04:03 +0000 2020;1266852903358091266;"Rivalitas ini sudah terjadi lama. Semenjak kasus pertama COVID-19 muncul di Surabaya hingga sekarang dan bertambah parah. Apalagi akan diberlakukan “New Normal” di Surabaya";0;1;0;1;in;170249274;1266852903358091266;akhmadkarunia;https://twitter.com/akhmadkarunia/status/1266852903358091266
Sat May 30 21:00:11 +0000 2020;1266836829916983298;"@dirgarambe SAYA ORANG JATIM (SURABAYA). SAYA TERIMA ATAS 0ENILAIAN ANDA, DAN MUNGKIN ITU BETUL SEKALI. KARENA MNURUT SAYA MAYORITAS AREK SUROBOYO GAK INGIN ADA PSBB APALAGI YG NAMANYA LOKDAON.😁 DAN MAYORITAS AREK SUROBOYO GAK PEDULI APA ITU CORONA.😁";0;0;0;0;in;1185925123611615232;1266683855865430016;AhmadRa04274527;https://twitter.com/AhmadRa04274527/status/1266836829916983298
Sat May 30 20:25:33 +0000 2020;1266828113100435456;"Di Surabaya, Rumah Sakit Non-Rujukan Mulai Menangani Pasien COVID-19 https://t.co/h6z0SyBcej";0;0;0;0;in;1293398077;1266828113100435456;cendananews;https://twitter.com/cendananews/status/1266828113100435456
Sat May 30 19:51:40 +0000 2020;1266819585254338561;"Dengan Semangat Kepahlawanan, Armuji Ajak Warga Surabaya Perangi Covid-19 https://t.co/UyF9ddJka5";0;0;0;0;in;763728920742985728;1266819585254338561;d_onenews_com;https://twitter.com/d_onenews_com/status/1266819585254338561
Sat May 30 19:14:25 +0000 2020;1266810213660794881;". SELAMAT HARI JADI KOTA SURABAYA ke-727th. 🎉🎊 . . Opo Dungamu Gawe Suroboyo Rek?...  . Dungaku gawe Suroboyo, Mugo Covid-19 ndang cepet mari, diberi kesehatan kabeh, diberi kemudahan segalanya, dan SUKSES terus… https://t.co/wjVTdxIsWZ";0;0;0;0;in;1257635478741725184;1266810213660794881;SbyTerkini;https://twitter.com/SbyTerkini/status/1266810213660794881
Sat May 30 18:47:00 +0000 2020;1266803312667455488;"Pemkot Surabaya dan BIN Gelar Rapid Test Massal Gratis untuk Memutus Penyebaran Covid-19 - RAJAWALI SIBER https://t.co/gdy4np9SMB https://t.co/nWtqZOdIRK";0;0;0;0;in;962250587730362368;1266803312667455488;RajawaliSiber;https://twitter.com/RajawaliSiber/status/1266803312667455488
Sat May 30 18:11:42 +0000 2020;1266794428703715329;"Selamat hari jadi yang ke-727 untuk Kota Surabaya ❤🎉 Semoga lekas membaik dari pandemi CoVid-19 saat ini, dan bisa melakukan aktivitas normal kembali 🙏 https://t.co/HzJUKNcOrC";0;0;2;1;in;1223561700;1266794428703715329;tahFatah_;https://twitter.com/tahFatah_/status/1266794428703715329
Sat May 30 17:55:44 +0000 2020;1266790410526941185;"Biasanya dirayakan dengan surabaya shopping festival huhu sedih.. Ohh corona ndang ngaleho";0;1;0;0;in;368859311;1266790410526941185;IsnainiMonic;https://twitter.com/IsnainiMonic/status/1266790410526941185
Sat May 30 17:55:36 +0000 2020;1266790379329695744;"Pasien positif hari ini bertambah 191 orang dan dari Surabaya ada tambahan 101 orang positif Covid- 19 via @radiomercury96 https://t.co/LLp1iirC6S";0;0;0;0;in;102267519;1266790379329695744;radiomercury96;https://twitter.com/radiomercury96/status/1266790379329695744
Sat May 30 17:49:34 +0000 2020;1266788858613489666;"@tijabar Semoga anak yg katanya mampu mengatasi Covid jika jadi Gubernur DKI itu coba suruh gantikan Walikota Surabaya dulu agak sebulan aja...  Mampu gak mengatasi Virus China itu";0;0;0;0;in;743080009691107328;1266515307176181760;Resof85;https://twitter.com/Resof85/status/1266788858613489666
Sat May 30 17:42:31 +0000 2020;1266787085698035713;"100-year-old woman recovers from COVID-19 in Surabaya https://t.co/pFpzlwjmFN";0;0;0;0;en;125624047;1266787085698035713;krishlex;https://twitter.com/krishlex/status/1266787085698035713
Sat May 30 17:38:04 +0000 2020;1266785964099121153;"Pasien Positif Corona di Gresik Kembali Bertambah, Didominasi Klaster Surabaya https://t.co/1IRIXLFk5D via @TribunJatim";0;0;0;0;in;279961400;1266785964099121153;tribunjatim;https://twitter.com/tribunjatim/status/1266785964099121153
Sat May 30 17:33:30 +0000 2020;1266784817191874561;"Selamat ulang tahun kotaku surabaya.. #surabaya727 Semoga lekas terbebas dari belenggu wabah covid 19 ini biar kehidupan kembali normal...";0;0;0;0;in;1247891768562946049;1266784817191874561;NurBakaria;https://twitter.com/NurBakaria/status/1266784817191874561
Sat May 30 17:17:47 +0000 2020;1266780861115973632;"@JohnToor1 @ge_je_ @e100ss Daerah sampeyan mana??? Coba liat dari daerah RS rujukan Covid ke Surabaya semua bro, karena Jatim ibu kotanya yah surabaya, sampeyan ngerti opo oraa brooo!!(";0;2;0;0;in;1219827586156466177;1266351452491935744;Upay23378085;https://twitter.com/Upay23378085/status/1266780861115973632
