created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat May 29 14:49:10 +0000 2021;1398652641123524612;"Door to Door Jemput Lansia untuk Vaksinasi Covid-19 di Surabaya: Pemerintah Indonesia kini tengah gencar memberikan vaksin Covid-19 bagi masyarakat. https://t.co/GiXmSXGlzo";0;0;0;1;in;456426648;1398652641123524612;merdekadotcom;https://twitter.com/merdekadotcom/status/1398652641123524612
Fri May 28 06:10:38 +0000 2021;1398159760273276933;"Seluruh tenaga pengajar di Kota Surabaya sudah menjalani dua kali vaksin Covid-19 menjelang pelaksanaan sekolah tatap muka memasuki tahun ajaran baru mendatang. https://t.co/Rn5x3SCc64";0;0;0;0;in;253429796;1398159760273276933;mtbfmsurabaya;https://twitter.com/mtbfmsurabaya/status/1398159760273276933
Thu May 27 11:42:09 +0000 2021;1397880803686699009;"@BanggaSurabaya @SapawargaSby @e100ss @Commandsurabaya @aslisuroboyo Semoga vaksin Covid 19 utk warga Surabaya bisa merata dan semuanya 🙏🙏🙏";0;0;0;0;in;489416129;1397748343434973185;philiphuang77;https://twitter.com/philiphuang77/status/1397880803686699009
Thu May 20 04:46:07 +0000 2021;1395239388527828994;"Wali Kota Surabaya Eri Cahyadi Minta Pendistribusian Vaksin COVID-19 Dipercepat #Nasional #EriCahyadi #FebriadhtiyaPrajatara https://t.co/WhN5CNRbfj https://t.co/bNvjl0yQkD";0;0;0;0;in;313946561;1395239388527828994;wow_keren;https://twitter.com/wow_keren/status/1395239388527828994
Wed May 19 07:01:48 +0000 2021;1394911145920634888;"Wali Kota Surabaya tegaskan percepatan pendistribusian vaksin COVID-19 https://t.co/Hl4ZSVP14O";0;0;0;0;in;1006054070077964289;1394911145920634888;elshinta_tegal;https://twitter.com/elshinta_tegal/status/1394911145920634888
Wed May 19 06:43:15 +0000 2021;1394906481669984256;"Wali Kota Surabaya tegaskan percepatan pendistribusian vaksin COVID-19 https://t.co/1hwKhokVzX";0;0;0;1;in;205287653;1394906481669984256;ElshintaDotcom;https://twitter.com/ElshintaDotcom/status/1394906481669984256
Wed May 19 05:45:48 +0000 2021;1394892021240795137;"Seluruh masyarakat Surabaya diharapkan bisa mendapatkan vaksin Covid-19 secepatnya. https://t.co/A7yBQuZqIv";1;0;0;2;in;22126902;1394892021240795137;republikaonline;https://twitter.com/republikaonline/status/1394892021240795137
Wed May 19 05:13:02 +0000 2021;1394883775079731201;"Wali Kota Surabaya ERi Cahyadi menyatakan akan mempercepat pendistribusian vaksin COVID-19 #Surabaya https://t.co/0NNIoJyAfu";0;0;0;1;in;79130206;1394883775079731201;jpnncom;https://twitter.com/jpnncom/status/1394883775079731201
Sat May 15 04:45:05 +0000 2021;1393427190927093762;"Sobat, Kementerian BUMN menegaskan bahwa penyuntikan vaksin COVID-19 di Sentra Vaksinasi Bersama BUMN diberikan secara gratis, berlaku di seluruh kota pelayanan Sentra Vaksinasi Bersama BUMN, yaitu DKI Jakarta, Bandung, Semarang, Surabaya dan Purwokerto. https://t.co/0VTQIhNN7D";0;3;65;28;in;80204488;1393427190927093762;TelkomIndonesia;https://twitter.com/TelkomIndonesia/status/1393427190927093762
Tue May 11 04:06:28 +0000 2021;1391967922285780998;"@e100ss mohon info utk bisa mendapatkan vaksin covid utk usia 18 thn di surabaya dimana ya? Apakah bisa? Ini utk persyaratan pemberangkatan beasiswa pelajar di LN";1;2;1;0;in;265046681;1391967922285780998;fonny_123;https://twitter.com/fonny_123/status/1391967922285780998
Tue May 11 03:56:27 +0000 2021;1391965399047049230;"Seluruh ASN Balai KIPM Surabaya II telah melaksanakan vaksin ke 2, semoga ikhtiar ini memberikan kesehatan terhindar dari covid 19 dan dapat meningkatkan pelayanan kepada para pengguna jasa #KKPRebound #OnehealthKIPM @HumasBKIPM @rinajanwar2201 @Hasim23568162 https://t.co/QytTo8uvsP";0;0;2;6;in;732073163035545601;1391965399047049230;bkipm_surabaya2;https://twitter.com/bkipm_surabaya2/status/1391965399047049230
Wed May 05 02:58:04 +0000 2021;1389776380783517697;"PT PG Rajawali I berkomitmen untuk mendukung program Pemerintah dalam percepatan vaksinasi Covid-19. Sejumlah kurang lebih 339 orang karyawan dan karyawati dari Kantor Direksi Surabaya, Unit PG Krebet Baru dan Unit PG Rejo Agung Baru mengikuti program vaksin tersebut. https://t.co/8pdhNFCF7c";0;1;0;0;in;943050296099344384;1389776368674611202;pt_pgrajawali1;https://twitter.com/pt_pgrajawali1/status/1389776380783517697
