created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Sep 29 04:39:42 +0000 2021;1443072973754142721;"VAKSIN CUKUP MEMBAWA FOTOKOPI KTP TANPA SYARAT DOMISILI  Vaksinasi Maritim Dalam Rangka Percepatan Penanganan COVID-19 dan Pemulihan Ekonomi Nasional  Pemerintah Kota Surabaya bersama Komando Armada II menggelar Serbuan Vaksinasi  📍: Lapangan THOR Gelora Pancasila Surabaya https://t.co/zS7RuGWfT2";2;4;24;36;in;762497866501730304;1443072973754142721;Commandsurabaya;https://twitter.com/Commandsurabaya/status/1443072973754142721
Tue Sep 28 11:02:59 +0000 2021;1442807040745738247;"#SSInfo: Ada vaksinasi Covid-19 besok, Rabu (29/9/2021) di food court DTC Lt. 4 DTC Surabaya Jalan Jagir Wonokromo. Tomi Ardianto Camat Wonokromo mengatakan, vaksinnya Sinovac dosis satu dan dua dengan kuota 2.000 vaksin.  Syarat dan ketentuan bisa dilihat di poster berikut. (hm) https://t.co/Qt1emtAv0T";1;2;12;22;in;848614550;1442807040745738247;e100ss;https://twitter.com/e100ss/status/1442807040745738247
Tue Sep 28 07:34:03 +0000 2021;1442754460837552131;"Jadwal Vaksin Covid-19 di Surabaya 29 September-2 Oktober 2021, Tersedia Dosis 1 dan 2 https://t.co/EEYOeqeZno";0;0;0;0;in;1324652158940184576;1442754460837552131;PRIndramayu;https://twitter.com/PRIndramayu/status/1442754460837552131
Mon Sep 27 14:06:26 +0000 2021;1442490820674744332;"DPP Golkar Jatim Berikan 1.000 Vaksin Covid-19 untuk Warga Surabaya https://t.co/KgyPcfNun8";0;0;0;1;in;2392460208;1442490820674744332;jawapos;https://twitter.com/jawapos/status/1442490820674744332
Mon Sep 27 10:48:37 +0000 2021;1442441039390806020;"*Like &amp  Subscribe* *Walikota Surabaya, Eri Cahyadi Apresiasi Partai Golkar DPD II Surabaya menggelar vaksinasi Covid-19 sasar 1.000 vaksin, warga antusias berdatangan bervaksin dan Alhamdulillah dapat paket sembako  *Report : Andi Dara* *(News_Pantau)* https://t.co/HGs5uTidEV";0;1;1;1;in;1436358609089167364;1442441039390806020;news_pantau;https://twitter.com/news_pantau/status/1442441039390806020
Mon Sep 27 03:20:03 +0000 2021;1442328152903065604;"Jadwal Vaksin Covid-19 di Kota Surabaya 29-30 September 2021, Terbuka bagi KTP Nasional https://t.co/D2mvQSRukj";0;0;0;0;in;1324652158940184576;1442328152903065604;PRIndramayu;https://twitter.com/PRIndramayu/status/1442328152903065604
Mon Sep 27 02:37:03 +0000 2021;1442317331305152514;"Jadwal Vaksin Covid-19 di Surabaya pada 29 dan 30 September 2021, Tersedia 30.000 Dosis https://t.co/fbRMvnrHfm";0;0;0;0;in;1324652158940184576;1442317331305152514;PRIndramayu;https://twitter.com/PRIndramayu/status/1442317331305152514
Wed Sep 22 10:30:19 +0000 2021;1440624493030830086;"Surabaya Bantu Nakes dan mobil vaksin untuk penanganan COVID-19 Sidoarjo, Eri: Seduluran Sak Lawase https://t.co/rjG2uczl9F  #penangganancovid19 #pemkotsurabaya #walikotasurabaya #bupatisidoarjo #vaksinasicovid19 #surabaya #beritasurabaya #sidoarjo #Lensaindonesiacom";0;0;0;0;in;227216050;1440624493030830086;lensaindonesia;https://twitter.com/lensaindonesia/status/1440624493030830086
Tue Sep 21 17:26:56 +0000 2021;1440366949595172872;"Surabaya Bantu Nakes dan mobil vaksin untuk penanganan COVID-19 Sidoarjo, Eri: Seduluran Sak Lawase https://t.co/I4uWeygwt6";0;0;0;0;in;1349433464492236800;1440366949595172872;KartumerahNews;https://twitter.com/KartumerahNews/status/1440366949595172872
Tue Sep 21 14:20:27 +0000 2021;1440320022270787584;"Menggalang gotong royong untuk percepatan vaksinasi Covid-19 di wilayah aglomerasi Surabaya Raya. Sebanyak 22 mobil vaksin keliling juga dikerahkan berkolaborasi dengan Polrestabes Surabaya.  #PDIPerjuangan  #SolidBergerak https://t.co/KqSFgW9f3l";0;8;2;10;in;153407983;1440320022270787584;PDI_Perjuangan;https://twitter.com/PDI_Perjuangan/status/1440320022270787584
