created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Jan 29 13:05:32 +0000 2021;1355140018008969223;"Pelaksanaan vaksinasi COVID-19 nakes di Surabaya masih terus dilakukan. Namun ada beberapa dokter yang belum mendapat vaksin. Rencananya dilakukan 31 Januari. https://t.co/Q7RIRNe6KI";0;0;2;4;in;69183155;1355140018008969223;detikcom;https://twitter.com/detikcom/status/1355140018008969223
Fri Jan 29 12:19:52 +0000 2021;1355128528233140229;"Sudah 80 Persen Nakes Surabaya Sudah Terima Vaksin Covid-19 https://t.co/rn4Cnp7d0y";0;0;0;0;in;2392460208;1355128528233140229;jawapos;https://twitter.com/jawapos/status/1355128528233140229
Fri Jan 29 06:33:50 +0000 2021;1355041442859606017;"Halo semuanya!  Pelaksana Tugas (Plt) Wali Kota Surabaya, Whisnu Sakti Buana, bersama dengan Forkopimda Surabaya menerima vaksin Covid-19 yang kedua hari ini, Jumat (29/1) di lobby lantai 2 Balai Kota Surabaya  Ini adalah lanjutan dr vaksinasi pertama pada Jumat (15/1) lalu https://t.co/pPIyruqOvr";0;2;8;19;in;288692148;1355041442859606017;SapawargaSby;https://twitter.com/SapawargaSby/status/1355041442859606017
Thu Jan 28 10:31:30 +0000 2021;1354738867203567621;"Berbeda dengan vaksinasi Covid-19 sebelumnya 14 Januari 2021 lalu dilaksanakan di Gedung Negara Grahadi, kali ini kegiatan pemberian vaksin tahap kedua digelar di kantor Gubernur Jawa Timur, Jalan Pahlawan 110 Surabaya.";0;1;0;0;in;888350689381842944;1354738864598904834;PolsekKandat;https://twitter.com/PolsekKandat/status/1354738867203567621
Thu Jan 28 02:33:10 +0000 2021;1354618492998172672;"Pemerintah Kota Surabaya kembali menerima alokasi vaksin Covid-19 untuk tahap 2 (27/01/2021)   Pendistribusian vaksin ke tiga ini mendapat pengawalan dari Polda Jawa Timur. https://t.co/rwqGiDIyy3";0;1;1;7;in;3042987860;1354618492998172672;satpolppsby;https://twitter.com/satpolppsby/status/1354618492998172672
Wed Jan 27 13:06:16 +0000 2021;1354415426877448192;"Dinkes Kota Surabaya kembali menerima 27.840 dosis vaksin COVID-19 yang didistribusikan Pemprov Jatim. Vaksin akan diberikan secara bertahap mulai 29 Januari. https://t.co/UFZvs7xXoF";1;0;1;4;in;69183155;1354415426877448192;detikcom;https://twitter.com/detikcom/status/1354415426877448192
Wed Jan 27 09:54:10 +0000 2021;1354367082964471808;"Pemkot Surabaya Terima 27.840 Dosis Vaksin Covid-19 untuk Vaksinasi Kedua https://t.co/sY3SsXu6mc";0;0;1;2;in;848614550;1354367082964471808;e100ss;https://twitter.com/e100ss/status/1354367082964471808
Wed Jan 27 09:49:44 +0000 2021;1354365969695608837;"Halo semuanya  Pemerintah Kota Surabaya kembali menerima vaksin COVID-19 pada hari Rabu (27/1), ini adalah distribusi ketiga vaksin ke Kota Surabaya   #SurabayaSiapVaksin https://t.co/8C9wdYLkEw";0;1;7;18;in;288692148;1354365969695608837;SapawargaSby;https://twitter.com/SapawargaSby/status/1354365969695608837
Wed Jan 27 06:37:23 +0000 2021;1354317561345699851;"Vaksin COVID-19 Kembali diterima Pemerintah Kota Surabaya.  #DulurSehatSby, Pemerintah Kota Surabaya kembali mendapatkan alokasi vaksin Covid-19 untuk tahap 2, hari ini (27/01/2021) https://t.co/KKINJRNWpv";0;2;11;35;in;1232843596342022144;1354317561345699851;sehatsurabayaku;https://twitter.com/sehatsurabayaku/status/1354317561345699851
Tue Jan 26 11:10:48 +0000 2021;1354023983985827840;"Petugas satlantas polres Nganjuk melaksanakan kegiatan pengawalan dan pengamanan kedatangan vaksin covid-19 dari surabaya menuju Kab. Nganjuk.  Kami Siap Menuju Indonesia Sehat.   AYO PATUH TERTIB BERLALU LINTAS 🚦🙏 DAN PATUH PROTOKOL KESEHATAN😷 https://t.co/mYm4maNpZO";0;0;0;3;in;1287635586631626757;1354023983985827840;lantasresngk;https://twitter.com/lantasresngk/status/1354023983985827840
