created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Jan 29 08:34:12 +0000 2022;1487343305268600832;"Warga Surabaya yang belum menerima vaksin COVID-19, jangan khawatir masih ada jadwal vaksin COVID-19 untuk weekend. Berikut jadwal vaksin dosis 1,2 dan booster: https://t.co/ITV9oOgHb0";0;0;0;0;in;349358100;1487343305268600832;WinJGR;https://twitter.com/WinJGR/status/1487343305268600832
Sat Jan 29 07:25:38 +0000 2022;1487326051151847424;"Warga Surabaya yang belum menerima vaksin COVID-19, jangan khawatir masih ada jadwal vaksin COVID-19 untuk weekend. Berikut jadwal vaksin dosis 1,2 dan booster: https://t.co/JADFfh7egr";1;3;1;4;in;69183155;1487326051151847424;detikcom;https://twitter.com/detikcom/status/1487326051151847424
Wed Jan 26 04:22:54 +0000 2022;1486192901575299074;"BOOSTER, BIAR VIRUS MAKIN KEDER 🤪   Finally ! seluruh karyawan PDTS.Kebun Binatang Surabaya mendapatkan vaksin booster (dosis 3) hari ini (Rabu,26/1/2022) Semoga ikhtiar ini jd jalan agar terbebas dr virus covid varian apapun ! Liburan ke KBS nya juga jadi makin tenang kan... 🤭 https://t.co/wRpchsXcuC";0;0;0;1;in;3195938952;1486192901575299074;surabayazoo;https://twitter.com/surabayazoo/status/1486192901575299074
Wed Jan 26 00:53:09 +0000 2022;1486140116406083586;"#Update Virus Corona di Surabaya dan Lokasi Vaksin Booster 26 Januari 2022: Kasus Covid-19 Melonjak - https://t.co/QMf5pi62D5 #Corona #Korona #VirusCorona https://t.co/xN31AVwFEO";0;0;0;0;in;705224376422010881;1486140116406083586;Berita_Corona;https://twitter.com/Berita_Corona/status/1486140116406083586
Mon Jan 24 23:33:03 +0000 2022;1485757568798818304;"Update Virus Corona di Surabaya dan Lokasi Vaksin Booster 25 Januari: Ada di Royal dan Medokan Ayu https://t.co/RVbIlYdtje lewat @portalsurya";0;0;0;0;in;120097058;1485757568798818304;portalsurya;https://twitter.com/portalsurya/status/1485757568798818304
Mon Jan 24 00:53:26 +0000 2022;1485415413404114948;"#Update Virus Corona di Surabaya dan Lokasi Vaksin Booster 24 Januari: Ada di Rangkah hingga Ketabang - https://t.co/QMf5pi62D5 #Corona #Korona #VirusCorona https://t.co/VAnodL2gm6";0;0;0;0;in;705224376422010881;1485415413404114948;Berita_Corona;https://twitter.com/Berita_Corona/status/1485415413404114948
Mon Jan 17 12:15:41 +0000 2022;1483050390140571651;"Warga Surabaya, Ini Dia Cara Cek Jadwal dan Tiket Vaksin Covid-19 Booster https://t.co/K8rn3cYpwn";0;0;0;0;in;1559334091;1483050390140571651;sinergia_news;https://twitter.com/sinergia_news/status/1483050390140571651
Mon Jan 17 11:23:21 +0000 2022;1483037218973556738;"Pemerintah Kota Surabaya di Provinsi Jawa Timur menunggu tambahan pasokan vaksin COVID-19 untuk booster atau penguat dari pemerintah provinsi dan pemerintah pusat guna melanjutkan pemberian tambahan dosis vaksin bagi warga yang sudah mendapat suntikan dua dosis vaksin COVID-19. https://t.co/EFKOG3cWTR";0;1;2;7;in;153407983;1483037218973556738;PDI_Perjuangan;https://twitter.com/PDI_Perjuangan/status/1483037218973556738
Mon Jan 17 10:33:09 +0000 2022;1483024588967940098;"UPDATE VAKSIN COVID-19 BOOSTER . #SahabatBPOM, pada 12 januari 2022 Badan POM memberikan lagi persetujuan izin penggunaan darurat untuk Vaksin COVID-19 booster/dosis lanjutan. https://t.co/nEtfhYXIuk";0;0;0;1;in;2805062232;1483024588967940098;BPOM_Surabaya;https://twitter.com/BPOM_Surabaya/status/1483024588967940098
Sun Jan 16 22:21:14 +0000 2022;1482840395109531649;"Surabaya Tunggu Tambahan Pasokan Vaksin Covid-19 untuk Booster https://t.co/m9T6lkLJj7";0;0;0;1;in;2392460208;1482840395109531649;jawapos;https://twitter.com/jawapos/status/1482840395109531649
